Date,linkret,linkvol,aaveret,aavevol,makerret,makervol,kyberret,kybervol,zeroret,zerovol
"Dec 08, 2017",0.245,4528570,0.022394,501650,402.77,36391.4,1.34,15028900,0.267595,4576860
"Dec 09, 2017",0.239,3173600,0.021921,420458,426,3864.27,1.31,11555400,0.241584,3064890
"Dec 10, 2017",0.253,3142570,0.023055,687983,399.8,65533.7,1.22,11857300,0.228401,2475840
"Dec 11, 2017",0.261,7534170,0.022751,446921,486.51,71980.4,1.28,12061600,0.235145,3631750
"Dec 12, 2017",0.231,10320200,0.025442,6904120,621.99,118742,1.32,12071700,0.262825,6220020
"Dec 13, 2017",0.262,10439800,0.02379,3224710,820.75,100344,1.29,10077300,0.342906,11877700
"Dec 14, 2017",0.309,16021700,0.035728,10632800,802.79,63565.1,1.66,20394800,0.379367,14972500
"Dec 15, 2017",0.321,13211800,0.040949,17228100,791.04,206328,1.58,12895600,0.359391,7291850
"Dec 16, 2017",0.341,13859700,0.042673,10722900,1079.24,731649,1.73,11477300,0.383183,8364440
"Dec 17, 2017",0.418,20035600,0.066148,19584900,1070.19,259197,2.28,24405200,0.463769,13712400
"Dec 18, 2017",0.435,18220400,0.089312,36895400,1218.42,455522,2.88,28833800,0.511789,11392600
"Dec 19, 2017",0.439,13254800,0.073759,12921900,1394.94,1282490,2.72,25007500,0.564137,19760200
"Dec 20, 2017",0.373,10481200,0.060674,13460400,1277.57,262010,2.61,17779200,0.575164,13472300
"Dec 21, 2017",0.424,12030600,0.067087,12868000,1095.19,799675,2.59,16736300,0.57853,17172500
"Dec 22, 2017",0.427,14979800,0.052123,6961180,823.4,633680,2.15,13412200,0.498971,11644900
"Dec 23, 2017",0.578,24055000,0.066348,10535200,989.82,599721,2.25,11332800,0.645686,24164900
"Dec 24, 2017",0.544,15183200,0.061825,6967380,1005.6,245322,2.37,11938200,0.62846,11478700
"Dec 25, 2017",0.502,7740550,0.072906,9595270,1047.2,357740,2.41,12568500,0.696416,8668880
"Dec 26, 2017",0.521,10452900,0.084908,20758700,1064.33,943383,2.52,12686800,0.647725,12996000
"Dec 27, 2017",0.506,6065390,0.079841,9208230,1038.11,877151,2.4,10329300,0.669701,11866800
"Dec 28, 2017",0.507,5458410,0.116341,50559700,996.76,799689,2.42,11990700,0.646711,7802720
"Dec 29, 2017",0.486,5757530,0.221719,238696000,1007.08,800242,2.51,10801600,0.684076,9252790
"Dec 30, 2017",0.586,9126190,0.167018,54680700,918.43,528455,2.25,10866200,0.688402,9462650
"Dec 31, 2017",0.602,9962080,0.174934,37303700,959.91,814006,2.62,14615300,0.895721,20968200
"Jan 01, 2018",0.734,11506300,0.165049,18272200,970.09,502841,3.06,22476900,0.877714,19205400
"Jan 02, 2018",0.674,12671100,0.193894,40233600,1063.07,660736,3.42,27472100,0.896672,21864200
"Jan 03, 2018",0.681,8620400,0.198287,30567500,1074.53,809445,3.59,24648600,0.974472,18706300
"Jan 04, 2018",0.984,24679000,0.246613,66040600,1040.25,733011,3.41,23788600,1.05,19658400
"Jan 05, 2018",0.907,23599300,0.225407,49128300,1096.78,1657580,3.17,31078100,1.12,38594200
"Jan 06, 2018",1.06,16319300,0.282655,51607400,1216.9,2040790,3.98,34950900,1.36,37822200
"Jan 07, 2018",1.27,23308800,0.36978,198531008,1169.35,1802970,5.1,61758700,1.36,40839200
"Jan 08, 2018",1.38,25545400,0.369596,75891104,1112.88,1242620,4.8,41314100,1.91,72631600
"Jan 09, 2018",1.23,14301200,0.339553,57948100,1096.44,1557700,5.74,37437600,2.17,208910000
